municipality,year,population
Jammerbugt,2011,38709.0
Jammerbugt,2012,38649.25
Jammerbugt,2013,38480.25
Jammerbugt,2014,38366.5
Jammerbugt,2015,38396.75
Jammerbugt,2016,38546.25
Jammerbugt,2017,38636.5
Jammerbugt,2018,38592.75
Jammerbugt,2019,38460.25
Jammerbugt,2020,38341.5
Jammerbugt,2021,38178.25
Jammerbugt,2022,38292.0
Jammerbugt,2023,38343.25
Kalundborg,2008,49769.0
Kalundborg,2009,49574.0
Kalundborg,2010,49229.5
Kalundborg,2011,48979.0
Kalundborg,2012,48520.25
Kalundborg,2013,48337.0
Kalundborg,2014,48387.25
Kalundborg,2015,48554.75
Kalundborg,2016,48752.75
Kalundborg,2017,48823.25
Kalundborg,2018,48879.0
Kalundborg,2019,48603.75
Kalundborg,2020,48400.25
Kalundborg,2021,48447.25
Kalundborg,2022,48528.5
Kalundborg,2023,48526.0
Kerteminde,2008,23654.25
Kerteminde,2009,23756.75
Kerteminde,2010,23748.75
Kerteminde,2011,23743.25
Kerteminde,2012,23763.75
Kerteminde,2013,23720.5
Kerteminde,2014,23735.75
Kerteminde,2015,23809.25
Kerteminde,2016,23843.0
Kerteminde,2017,23778.0
Kerteminde,2018,23787.0
Kerteminde,2019,23814.0
Kerteminde,2020,23827.0
Kerteminde,2021,23900.5
Kerteminde,2022,24047.25
Kerteminde,2023,23963.0
Kolding,2008,88054.0
Kolding,2009,88723.0
Kolding,2010,89106.0
Kolding,2011,89270.0
Kolding,2012,89455.75
Kolding,2013,89674.75
Kolding,2014,90314.5
Kolding,2015,91072.25
Kolding,2016,91898.0
Kolding,2017,92395.25
Kolding,2018,92615.0
Kolding,2019,93054.5
Kolding,2020,93113.75
Kolding,2021,93164.75
Kolding,2022,94044.75
Kolding,2023,94672.25
København,2008,512558.5
København,2009,521887.0
København,2010,532085.0
København,2011,542883.25
København,2012,552612.5
København,2013,563268.0
København,2014,573433.25
København,2015,584189.25
København,2016,595423.75
København,2017,606431.5
København,2018,617019.25
København,2019,627320.75
København,2020,634190.0
København,2021,639799.5
København,2022,647829.0
København,2023,656755.75
Køge,2008,56740.75
Køge,2009,56907.75
Køge,2010,57217.25
Køge,2011,57245.0
Køge,2012,57491.75
Køge,2013,58039.5
Køge,2014,58690.75
Køge,2015,59461.0
Køge,2016,59955.25
Køge,2017,60193.25
Køge,2018,60525.0
Køge,2019,60736.5
Køge,2020,61155.25
Køge,2021,61590.25
Køge,2022,61986.0
Køge,2023,62535.5
Langeland,2008,13666.25
Langeland,2009,13544.75
Langeland,2010,13465.5
Langeland,2011,13228.5
Langeland,2012,13013.5
Langeland,2013,12803.5
Langeland,2014,12666.5
Langeland,2015,12583.75
Langeland,2016,12556.5
Langeland,2017,12578.25
Langeland,2018,12603.5
Langeland,2019,12545.0
Langeland,2020,12415.25
Langeland,2021,12355.25
Langeland,2022,12359.75
Langeland,2023,12347.75
Lejre,2008,26653.75
Lejre,2009,26782.5
Lejre,2010,26819.0
Lejre,2011,26811.5
Lejre,2012,26943.75
Lejre,2013,26911.75
Lejre,2014,27018.5
Lejre,2015,27209.25
Lejre,2016,27379.75
Lejre,2017,27484.0
Lejre,2018,27652.0
Lejre,2019,27930.0
Lejre,2020,28055.5
Lejre,2021,28422.5
Lejre,2022,28780.0
Lejre,2023,29073.25
Lemvig,2008,22000.0
Lemvig,2009,21885.0
Lemvig,2010,21704.0
Lemvig,2011,21511.5
Lemvig,2012,21303.5
Lemvig,2013,21081.0
Lemvig,2014,20823.75
Lemvig,2015,20576.0
Lemvig,2016,20346.25
Lemvig,2017,20268.25
Lemvig,2018,20094.25
Lemvig,2019,19904.5
Lemvig,2020,19667.0
