OMRÅDE,ALDER,KØN,TID,INDHOLD
Randers,Alder i alt,I alt,2023,3.1
Silkeborg,Alder i alt,I alt,2023,2.4
Samsø,Alder i alt,I alt,2023,2.8
Skanderborg,Alder i alt,I alt,2023,2.0
Aarhus,Alder i alt,I alt,2023,3.5
Ikast-Brande,Alder i alt,I alt,2023,2.3
Ringkøbing-Skjern,Alder i alt,I alt,2023,1.8
Hedensted,Alder i alt,I alt,2023,2.0
Morsø,Alder i alt,I alt,2023,2.5
Skive,Alder i alt,I alt,2023,2.0
Thisted,Alder i alt,I alt,2023,2.3
Viborg,Alder i alt,I alt,2023,2.5
Brønderslev,Alder i alt,I alt,2023,2.8
Frederikshavn,Alder i alt,I alt,2023,3.6
Vesthimmerlands,Alder i alt,I alt,2023,2.8
Læsø,Alder i alt,I alt,2023,4.8
Rebild,Alder i alt,I alt,2023,2.2
Mariagerfjord,Alder i alt,I alt,2023,2.6
Jammerbugt,Alder i alt,I alt,2023,2.8
Aalborg,Alder i alt,I alt,2023,3.6
Hjørring,Alder i alt,I alt,2023,2.9
København,Alder i alt,I alt,2008,4.4
Frederiksberg,Alder i alt,I alt,2008,3.0
Ballerup,Alder i alt,I alt,2008,1.9
Brøndby,Alder i alt,I alt,2008,2.6
Dragør,Alder i alt,I alt,2019,2.6
Gentofte,Alder i alt,I alt,2019,2.9
Gladsaxe,Alder i alt,I alt,2019,3.2
Glostrup,Alder i alt,I alt,2019,3.9
Herlev,Alder i alt,I alt,2019,2.9
Albertslund,Alder i alt,I alt,2019,5.0
Hvidovre,Alder i alt,I alt,2019,3.4
Høje-Taastrup,Alder i alt,I alt,2019,4.4
Lyngby-Taarbæk,Alder i alt,I alt,2019,2.7
Rødovre,Alder i alt,I alt,2019,4.3
Ringkøbing-Skjern,Alder i alt,I alt,2015,3.0
Hedensted,Alder i alt,I alt,2015,3.0
Morsø,Alder i alt,I alt,2015,4.0
Skive,Alder i alt,I alt,2015,3.3
Thisted,Alder i alt,I alt,2015,3.7
Viborg,Alder i alt,I alt,2015,3.7
Brønderslev,Alder i alt,I alt,2015,4.5
Frederikshavn,Alder i alt,I alt,2015,5.2
Vesthimmerlands,Alder i alt,I alt,2015,4.9
Læsø,Alder i alt,I alt,2015,7.2
