BOPOMR,HERKOMST,HFUDD,ALDER,KØN,TID,INDHOLD
Albertslund,I alt,I alt,Alder i alt,I alt,2007,20224
Høje-Taastrup,I alt,I alt,Alder i alt,I alt,2007,33917
Rødovre,I alt,I alt,Alder i alt,I alt,2007,24773
Tårnby,I alt,I alt,Alder i alt,I alt,2007,27769
Furesø,I alt,I alt,Alder i alt,I alt,2007,25341
Fredensborg,I alt,I alt,Alder i alt,I alt,2007,27404
Hillerød,I alt,I alt,Alder i alt,I alt,2007,31990
Christiansø,I alt,I alt,Alder i alt,I alt,2016,57
Nyborg,I alt,I alt,Alder i alt,I alt,2016,21714
Herlev,I alt,I alt,Alder i alt,I alt,2010,18388
Rudersdal,I alt,I alt,Alder i alt,I alt,2007,35468
København,I alt,I alt,Alder i alt,I alt,2010,419851
Frederikssund,I alt,I alt,Alder i alt,I alt,2007,30815
Køge,I alt,I alt,Alder i alt,I alt,2007,39711
Roskilde,I alt,I alt,Alder i alt,I alt,2007,56954
Gribskov,I alt,I alt,Alder i alt,I alt,2007,28576
Nordfyns,I alt,I alt,Alder i alt,I alt,2016,20146
Høje-Taastrup,I alt,I alt,Alder i alt,I alt,2010,34003
Holbæk,I alt,I alt,Alder i alt,I alt,2007,48713
Varde,I alt,I alt,Alder i alt,I alt,2016,34346
Lolland,I alt,I alt,Alder i alt,I alt,2016,28577
Vordingborg,I alt,I alt,Alder i alt,I alt,2016,31223
Assens,I alt,I alt,Alder i alt,I alt,2016,28256
Billund,I alt,I alt,Alder i alt,I alt,2016,18102
Kalundborg,I alt,I alt,Alder i alt,I alt,2016,33266
Stevns,I alt,I alt,Alder i alt,I alt,2016,15291
Ishøj,I alt,I alt,Alder i alt,I alt,2010,15187
Furesø,I alt,I alt,Alder i alt,I alt,2010,25672
Helsingør,I alt,I alt,Alder i alt,I alt,2010,42462
Kalundborg,I alt,I alt,Alder i alt,I alt,2007,34744
Brønderslev,I alt,I alt,Alder i alt,I alt,2016,24251
Læsø,I alt,I alt,Alder i alt,I alt,2016,1166
Silkeborg,I alt,I alt,Alder i alt,I alt,2016,62554
Aarhus,I alt,I alt,Alder i alt,I alt,2016,250473
Rudersdal,I alt,I alt,Alder i alt,I alt,2010,36053
